epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.2929,1.54974,3.44669,1.76788,0.01132,0.45789,0.13213,0.06683,1.15412,3.4297,1.43438,0.00010003,0.00010003,0.00010003
2,78.58,1.51005,3.25426,1.68788,0.01654,0.62632,0.2183,0.11997,1.2498,3.31537,1.35913,0.000212228,0.000212228,0.000212228
3,114.502,1.45613,3.05949,1.5988,0.01852,0.67895,0.33434,0.21571,1.29023,3.25288,1.34729,0.000322162,0.000322162,0.000322162
4,150.73,1.58637,2.94507,1.71752,0.01992,0.69474,0.32927,0.17946,1.36742,3.18436,1.35952,0.000429833,0.000429833,0.000429833
5,184.04,1.6538,2.73178,1.76502,0.01901,0.67719,0.2655,0.14874,1.39207,3.23306,1.45258,0.000535241,0.000535241,0.000535241
6,217.16,1.56438,2.40783,1.68463,0.02203,0.72982,0.3347,0.22276,1.23795,3.13064,1.35329,0.000638384,0.000638384,0.000638384
7,250.773,1.62848,2.29942,1.72285,0.01625,0.61053,0.42625,0.29312,1.13792,3.14277,1.29417,0.000739265,0.000739265,0.000739265
8,286.559,1.65984,2.21734,1.76761,0.01153,0.68947,0.32752,0.22805,1.30569,3.30458,1.55973,0.000837881,0.000837881,0.000837881
9,323.942,1.62313,2.10361,1.71529,0.795,0.1048,0.23271,0.15468,1.43355,3.34583,1.73334,0.000934234,0.000934234,0.000934234
10,356.904,1.56748,2.04272,1.6604,0.87851,0.06667,0.37276,0.26883,1.46715,3.24804,1.73477,0.00102832,0.00102832,0.00102832
11,388.78,1.55668,1.97043,1.64699,0.89004,0.1,0.26175,0.17914,1.77487,3.23843,2.0129,0.00112015,0.00112015,0.00112015
12,420.599,1.56583,1.93365,1.67287,0.75768,0.13196,0.18036,0.10389,1.81722,3.35848,1.99502,0.00120971,0.00120971,0.00120971
13,455.497,1.52144,1.86656,1.62947,0.51791,0.08421,0.39464,0.18419,1.84478,3.24549,2.0008,0.00125923,0.00125923,0.00125923
14,486.94,1.56053,1.85894,1.65232,0.58622,0.08421,0.44596,0.15456,1.84519,3.33052,2.25495,0.00124509,0.00124509,0.00124509
15,518.842,1.52914,1.84292,1.62093,0.37873,0.31754,0.41746,0.19333,1.56882,3.19053,1.87507,0.00123094,0.00123094,0.00123094
16,552.531,1.49571,1.73265,1.57849,0.29887,0.51754,0.40279,0.21209,1.77021,3.09538,2.03816,0.00121679,0.00121679,0.00121679
17,588.802,1.39601,1.64634,1.51992,0.33464,0.46615,0.41622,0.22593,1.79308,2.80875,1.84702,0.00120265,0.00120265,0.00120265
18,623.376,1.3813,1.59032,1.52311,0.33367,0.43383,0.42412,0.19931,1.68103,2.8696,1.76701,0.0011885,0.0011885,0.0011885
